room,treatment,round,roundcomplete,player1action,player2action,player1jartype,player1bluecount,player2highbluecount,player2lowbluecount,player1earnings,player2earnings,player1name,player2name,player1_lastseen,player2_lastseen,player1_ready,player2_ready,drawn_ball,player1earnings_difference,player2earnings_difference,player1_quiz_finished,player2_quiz_finished,drawn_low,drawn_high,finish_code_player1,finish_code_player2
3RTW0,status_quo,8,true,Offer,MixWithLowBlue,high_quality,99,43,43,540,308,A17C8CUROFU495,A27RABV2PS9312,2021-06-08 21:18:00.494,2021-06-08 21:18:00.702,true,true,red ball,8,-80,true,true,red,blue,A17C8CUROFU495nTdjl,A27RABV2PS9312FNyqw
H0eI9,status_quo,9,true,Offer,MixWithHighBlue,high_quality,93,77,12,492,412,A1E4CVMKNX3ZCH,A4EEVK4PD4NOC,2021-06-08 20:08:07.777,2021-06-08 20:08:07.739,true,true,red ball,8,-80,true,true,red,red,A1E4CVMKNX3ZCHfajwR,A4EEVK4PD4NOCGkuE2
H0eI9,status_quo,10,true,NoOffer,NA,low_quality,22,81,30,492,412,A1E4CVMKNX3ZCH,A4EEVK4PD4NOC,2021-06-08 20:08:39.692,2021-06-08 20:09:09.264,false,true,NA,0,0,true,true,red,blue,A1E4CVMKNX3ZCHfajwR,A4EEVK4PD4NOCGkuE2
H0eI9,status_quo,2,true,NoOffer,NA,low_quality,47,71,38,508,420,A1E4CVMKNX3ZCH,A4EEVK4PD4NOC,2021-06-08 20:05:08.258,2021-06-08 20:05:08.203,true,true,NA,0,0,true,true,red,blue,A1E4CVMKNX3ZCHfajwR,A4EEVK4PD4NOCGkuE2
3RTW0,status_quo,9,true,NoOffer,NA,low_quality,15,59,36,540,308,A17C8CUROFU495,A27RABV2PS9312,2021-06-08 21:18:14.59,2021-06-08 21:18:14.611,true,true,NA,0,0,true,true,blue,blue,A17C8CUROFU495nTdjl,A27RABV2PS9312FNyqw
V9Xqk,status_quo,1,true,Offer,MixWithLowBlue,high_quality,93,51,18,508,524,ASI87SMGFEGLK,A23MWYC245A6AZ,2021-06-08 21:39:49.458,2021-06-08 21:39:49.826,true,true,blue ball,8,24,true,true,blue,blue,ASI87SMGFEGLKbJwW7,A23MWYC245A6AZgUBDX
V9Xqk,status_quo,7,true,Offer,MixWithLowBlue,high_quality,82,51,31,508,492,ASI87SMGFEGLK,A23MWYC245A6AZ,2021-06-08 21:42:32.038,2021-06-08 21:42:31.868,true,true,blue ball,8,24,true,true,blue,blue,ASI87SMGFEGLKbJwW7,A23MWYC245A6AZgUBDX
3RTW0,status_quo,5,true,NoOffer,NA,low_quality,37,44,17,524,468,A17C8CUROFU495,A27RABV2PS9312,2021-06-08 21:17:07.156,2021-06-08 21:17:07.533,true,true,NA,0,0,true,true,red,blue,A17C8CUROFU495nTdjl,A27RABV2PS9312FNyqw
V9Xqk,status_quo,6,true,Offer,MixWithLowBlue,high_quality,99,64,43,500,468,ASI87SMGFEGLK,A23MWYC245A6AZ,2021-06-08 21:42:09.958,2021-06-08 21:42:10.845,true,true,red ball,8,-80,true,true,red,red,ASI87SMGFEGLKbJwW7,A23MWYC245A6AZgUBDX
3RTW0,status_quo,10,true,NoOffer,NA,low_quality,39,59,50,540,308,A17C8CUROFU495,A27RABV2PS9312,2021-06-08 21:19:03.133,2021-06-08 21:18:38.485,false,true,NA,0,0,true,true,red,blue,A17C8CUROFU495nTdjl,A27RABV2PS9312FNyqw
H0eI9,status_quo,4,true,Offer,MixWithHighBlue,high_quality,92,75,27,492,444,A1E4CVMKNX3ZCH,A4EEVK4PD4NOC,2021-06-08 20:06:07.745,2021-06-08 20:06:08.357,true,true,blue ball,8,24,true,true,blue,blue,A1E4CVMKNX3ZCHfajwR,A4EEVK4PD4NOCGkuE2
3RTW0,status_quo,4,true,NoOffer,NA,low_quality,68,67,13,524,468,A17C8CUROFU495,A27RABV2PS9312,2021-06-08 21:16:52.06,2021-06-08 21:16:52.534,true,true,NA,0,0,true,true,red,red,A17C8CUROFU495nTdjl,A27RABV2PS9312FNyqw
H0eI9,status_quo,6,true,NoOffer,NA,low_quality,76,64,33,500,468,A1E4CVMKNX3ZCH,A4EEVK4PD4NOC,2021-06-08 20:06:49.117,2021-06-08 20:06:49.472,true,true,NA,0,0,true,true,red,blue,A1E4CVMKNX3ZCHfajwR,A4EEVK4PD4NOCGkuE2
3RTW0,status_quo,3,true,Offer,MixWithHighBlue,high_quality,80,42,12,524,468,A17C8CUROFU495,A27RABV2PS9312,2021-06-08 21:16:34.945,2021-06-08 21:16:35.476,true,true,blue ball,8,24,true,true,red,blue,A17C8CUROFU495nTdjl,A27RABV2PS9312FNyqw
Q45fb,holistic,1,,,,high_quality,80,46,2,500,500,A4EEVK4PD4NOC,,2021-06-08 20:08:34.371,,false,false,,,,false,false,,,A4EEVK4PD4NOC4Ppxv,
H0eI9,status_quo,5,true,Offer,MixWithHighBlue,high_quality,84,96,18,500,468,A1E4CVMKNX3ZCH,A4EEVK4PD4NOC,2021-06-08 20:06:33.974,2021-06-08 20:06:34.455,true,true,blue ball,8,24,true,true,red,blue,A1E4CVMKNX3ZCHfajwR,A4EEVK4PD4NOCGkuE2
dkIZ2,holistic,1,,,,high_quality,85,57,40,500,500,Alias,12:15-12:20,2021-06-08 21:04:01.147,2021-06-08 19:57:52.37,false,false,,,,true,false,,,AliasnKtpq,12:15-12:20ijW3F
H0eI9,status_quo,3,true,Offer,RejectOffer,high_quality,85,62,23,484,420,A1E4CVMKNX3ZCH,A4EEVK4PD4NOC,2021-06-08 20:05:41.486,2021-06-08 20:05:42.27,true,true,NA,-24,0,true,true,red,blue,A1E4CVMKNX3ZCHfajwR,A4EEVK4PD4NOCGkuE2
3RTW0,status_quo,1,true,Offer,MixWithHighBlue,high_quality,90,55,15,508,420,A17C8CUROFU495,A27RABV2PS9312,2021-06-08 21:15:32.473,2021-06-08 21:15:33.369,true,true,red ball,8,-80,true,true,blue,red,A17C8CUROFU495nTdjl,A27RABV2PS9312FNyqw
H0eI9,status_quo,1,true,Offer,MixWithHighBlue,high_quality,97,68,36,508,420,A1E4CVMKNX3ZCH,A4EEVK4PD4NOC,2021-06-08 20:04:40.1,2021-06-08 20:04:40.151,true,true,red ball,8,-80,true,true,red,red,A1E4CVMKNX3ZCHfajwR,A4EEVK4PD4NOCGkuE2
YC9bU,holistic,1,,,,low_quality,44,71,28,500,500,AUBIH6UELJYF1,,2021-06-08 21:10:25.365,,false,false,,,,false,false,,,AUBIH6UELJYF1XLRHA,
H0eI9,status_quo,7,true,Offer,MixWithHighBlue,high_quality,93,85,12,508,492,A1E4CVMKNX3ZCH,A4EEVK4PD4NOC,2021-06-08 20:07:14.351,2021-06-08 20:07:14.554,true,true,blue ball,8,24,true,true,red,blue,A1E4CVMKNX3ZCHfajwR,A4EEVK4PD4NOCGkuE2
3RTW0,status_quo,7,true,NoOffer,NA,low_quality,57,42,25,532,388,A17C8CUROFU495,A27RABV2PS9312,2021-06-08 21:17:38.337,2021-06-08 21:17:38.554,true,true,NA,0,0,true,true,blue,blue,A17C8CUROFU495nTdjl,A27RABV2PS9312FNyqw
V9Xqk,status_quo,2,true,NoOffer,NA,low_quality,77,56,59,508,524,ASI87SMGFEGLK,A23MWYC245A6AZ,2021-06-08 21:40:30.59,2021-06-08 21:40:31.173,true,true,NA,0,0,true,true,blue,blue,ASI87SMGFEGLKbJwW7,A23MWYC245A6AZgUBDX
V9Xqk,status_quo,4,true,NoOffer,NA,low_quality,45,86,44,484,524,ASI87SMGFEGLK,A23MWYC245A6AZ,2021-06-08 21:41:33.812,2021-06-08 21:41:33.534,true,true,NA,0,0,true,true,blue,blue,ASI87SMGFEGLKbJwW7,A23MWYC245A6AZgUBDX
0msMZ,status_quo,1,,,,low_quality,14,43,26,500,500,Henry,,2021-06-08 21:24:37.815,,false,false,,,,false,false,,,HenryPgzzp,
V9Xqk,status_quo,8,true,Offer,MixWithLowBlue,high_quality,84,85,47,516,516,ASI87SMGFEGLK,A23MWYC245A6AZ,2021-06-08 21:42:49.111,2021-06-08 21:42:49.014,true,true,blue ball,8,24,true,true,blue,blue,ASI87SMGFEGLKbJwW7,A23MWYC245A6AZgUBDX
V9Xqk,status_quo,5,true,Offer,MixWithLowBlue,high_quality,94,93,21,492,548,ASI87SMGFEGLK,A23MWYC245A6AZ,2021-06-08 21:41:51.874,2021-06-08 21:41:52.62,true,true,blue ball,8,24,true,true,blue,blue,ASI87SMGFEGLKbJwW7,A23MWYC245A6AZgUBDX
B9Lnb,holistic,1,true,NoOffer,NA,low_quality,33,41,51,500,500,Kay,A1IOE79K3G3VQD,2021-06-08 21:42:23.686,2021-06-08 21:42:23.984,true,true,2 red balls,0,0,true,true,red,red,KayFrUPs,A1IOE79K3G3VQDqGnBm
V9Xqk,status_quo,3,true,Offer,RejectOffer,low_quality,32,40,25,484,524,ASI87SMGFEGLK,A23MWYC245A6AZ,2021-06-08 21:41:16.766,2021-06-08 21:41:17.401,true,true,NA,-24,0,true,true,red,red,ASI87SMGFEGLKbJwW7,A23MWYC245A6AZgUBDX
B9Lnb,holistic,2,true,Offer,MixWithLowBlue,high_quality,100,41,46,508,510,Kay,A1IOE79K3G3VQD,2021-06-08 21:42:59.948,2021-06-08 21:43:00.225,true,true,1 blue and 1 red,8,10,true,true,blue,red,KayFrUPs,A1IOE79K3G3VQDqGnBm
V9Xqk,status_quo,9,true,Offer,MixWithLowBlue,high_quality,85,63,7,524,540,ASI87SMGFEGLK,A23MWYC245A6AZ,2021-06-08 21:43:10.987,2021-06-08 21:43:11.223,true,true,blue ball,8,24,true,true,blue,blue,ASI87SMGFEGLKbJwW7,A23MWYC245A6AZgUBDX
B9Lnb,holistic,3,true,Offer,MixWithHighBlue,high_quality,86,51,37,508,510,Kay,A1IOE79K3G3VQD,2021-06-08 21:43:35.257,2021-06-08 21:43:35.443,true,true,2 red balls,0,0,true,true,red,red,KayFrUPs,A1IOE79K3G3VQDqGnBm
B9Lnb,holistic,5,true,Offer,RejectOffer,low_quality,1,44,36,524,530,Kay,A1IOE79K3G3VQD,2021-06-08 21:44:20.565,2021-06-08 21:44:20.707,true,true,2 red balls,0,0,true,true,red,red,KayFrUPs,A1IOE79K3G3VQDqGnBm
1HLrD,holistic,1,,,,high_quality,90,49,40,500,500,,AWB75Q7MKORHP,,2021-06-09 00:57:42.377,false,false,,,,false,false,,,,AWB75Q7MKORHPoGuZh
YT0XH,status_quo,1,,,,high_quality,100,52,53,500,500,,A1FBCUZ26DV5VM,,,false,false,,,,false,false,,,,A1FBCUZ26DV5VMahl3m
V9Xqk,status_quo,10,true,NoOffer,NA,low_quality,12,48,13,524,540,ASI87SMGFEGLK,A23MWYC245A6AZ,2021-06-08 21:44:47.418,2021-06-08 21:45:12.279,false,true,NA,0,0,true,true,red,red,ASI87SMGFEGLKbJwW7,A23MWYC245A6AZgUBDX
r0jZi,holistic,9,true,NoOffer,NA,low_quality,77,100,38,548,560,Jon,A5P12YJP805RG,2021-06-09 09:25:07.362,2021-06-09 09:25:07.531,true,true,2 blue balls,16,20,true,true,blue,blue,JonLfQZg,A5P12YJP805RGpcBOa
RUg03,holistic,10,true,Offer,MixWithLowBlue,low_quality,42,76,28,580,600,A2LJVXSZ9377TO,Tom,2021-06-09 01:44:33.437,2021-06-09 01:57:25.795,false,false,2 red balls,0,0,true,true,red,red,A2LJVXSZ9377TOie0Go,TomdX6II
RUg03,holistic,6,true,Offer,RejectOffer,low_quality,1,89,27,564,580,A2LJVXSZ9377TO,Tom,2021-06-09 01:41:23.659,2021-06-09 01:41:23.723,true,true,1 blue and 1 red,8,10,true,true,red,blue,A2LJVXSZ9377TOie0Go,TomdX6II
73cs9,holistic,1,,,,low_quality,29,78,23,500,500,A2LJVXSZ9377TO,A2LJVXSZ9377TO,2021-06-09 01:08:02.436,2021-06-09 01:29:00.477,false,false,,,,false,true,,,A2LJVXSZ9377TO5k7ge,A2LJVXSZ9377TOy81IO
r0jZi,holistic,6,true,Offer,MixWithLowBlue,high_quality,96,73,55,532,540,Jon,A5P12YJP805RG,2021-06-09 09:24:18.302,2021-06-09 09:24:18.267,true,true,1 blue and 1 red,8,10,true,true,red,blue,JonLfQZg,A5P12YJP805RGpcBOa
r0jZi,holistic,8,true,NoOffer,NA,low_quality,12,63,46,532,540,Jon,A5P12YJP805RG,2021-06-09 09:24:51.344,2021-06-09 09:24:51.478,true,true,2 red balls,0,0,true,true,red,red,JonLfQZg,A5P12YJP805RGpcBOa
r0jZi,holistic,4,true,Offer,MixWithLowBlue,high_quality,94,47,23,508,510,Jon,A5P12YJP805RG,2021-06-09 09:23:11.222,2021-06-09 09:23:11.695,true,true,1 blue and 1 red,8,10,true,true,red,blue,JonLfQZg,A5P12YJP805RGpcBOa
RUg03,holistic,2,true,Offer,MixWithLowBlue,low_quality,58,70,40,524,530,A2LJVXSZ9377TO,Tom,2021-06-09 01:37:03.618,2021-06-09 01:37:03.863,true,true,2 blue balls,16,20,true,true,blue,blue,A2LJVXSZ9377TOie0Go,TomdX6II
odHpK,status_quo,6,true,Offer,MixWithHighBlue,high_quality,83,74,3,532,492,A2PY9UB56M2PP2,Tom,2021-06-09 00:43:50.656,2021-06-09 00:42:53.841,true,true,blue ball,8,24,true,true,red,blue,A2PY9UB56M2PP2RWegV,TomYAEsz
odHpK,status_quo,8,true,NoOffer,NA,low_quality,35,73,25,540,412,A2PY9UB56M2PP2,Tom,2021-06-09 00:50:31.266,2021-06-09 00:49:15.92,true,true,NA,0,0,true,true,red,blue,A2PY9UB56M2PP2RWegV,TomYAEsz
odHpK,status_quo,4,true,Offer,MixWithHighBlue,high_quality,96,67,5,524,468,A2PY9UB56M2PP2,Tom,2021-06-09 00:39:42.986,2021-06-09 00:39:02.182,true,true,blue ball,8,24,true,true,red,blue,A2PY9UB56M2PP2RWegV,TomYAEsz
ZfiIO,holistic,1,,,,high_quality,94,54,45,500,500,Sam,,2021-06-09 00:31:45.145,,false,false,,,,false,false,,,SamDot9U,
r0jZi,holistic,2,true,Offer,MixWithLowBlue,high_quality,85,80,41,500,500,Jon,A5P12YJP805RG,2021-06-09 09:21:30.964,2021-06-09 09:21:31.049,true,true,2 red balls,0,0,true,true,red,red,JonLfQZg,A5P12YJP805RGpcBOa
B9Lnb,holistic,4,true,Offer,RejectOffer,low_quality,31,66,41,524,530,Kay,A1IOE79K3G3VQD,2021-06-08 21:43:57.443,2021-06-08 21:43:57.585,true,true,2 blue balls,16,20,true,true,blue,blue,KayFrUPs,A1IOE79K3G3VQDqGnBm
odHpK,status_quo,2,true,Offer,MixWithLowBlue,low_quality,9,69,57,508,420,A2PY9UB56M2PP2,Tom,2021-06-09 00:37:05.646,2021-06-09 00:36:32.414,true,true,red ball,8,-80,true,true,red,red,A2PY9UB56M2PP2RWegV,TomYAEsz
ymEUD,holistic,7,true,NoOffer,NA,low_quality,69,90,57,572,590,BobbyD,A2WTUUYJ7IIUS8,2021-06-09 02:19:21.739,2021-06-09 02:19:21.701,true,true,2 blue balls,16,20,true,true,blue,blue,BobbyD2Diit,A2WTUUYJ7IIUS8gCmXq
RUg03,holistic,8,true,Offer,RejectOffer,low_quality,1,88,13,572,590,A2LJVXSZ9377TO,Tom,2021-06-09 01:42:51.355,2021-06-09 01:42:51.255,true,true,1 blue and 1 red,8,10,true,true,red,blue,A2LJVXSZ9377TOie0Go,TomdX6II
RUg03,holistic,4,true,Offer,RejectOffer,low_quality,9,63,30,540,550,A2LJVXSZ9377TO,Tom,2021-06-09 01:40:01.035,2021-06-09 01:40:01.225,true,true,1 blue and 1 red,8,10,true,true,red,blue,A2LJVXSZ9377TOie0Go,TomdX6II
odHpK,status_quo,10,true,Offer,MixWithHighBlue,high_quality,93,43,32,556,460,A2PY9UB56M2PP2,Tom,2021-06-09 00:56:33.145,2021-06-09 00:56:03.688,false,false,blue ball,8,24,true,true,red,blue,A2PY9UB56M2PP2RWegV,TomYAEsz
ymEUD,holistic,5,true,Offer,MixWithLowBlue,low_quality,18,58,6,548,560,BobbyD,A2WTUUYJ7IIUS8,2021-06-09 02:18:47.494,2021-06-09 02:18:47.553,true,true,1 blue and 1 red,8,10,true,true,blue,red,BobbyD2Diit,A2WTUUYJ7IIUS8gCmXq
