room,treatment,round,roundcomplete,player1action,player2action,player1jartype,player1bluecount,player2highbluecount,player2lowbluecount,player1earnings,player2earnings,player1name,player2name,player1_lastseen,player2_lastseen,player1_ready,player2_ready,drawn_ball,player1earnings_difference,player2earnings_difference,player1_quiz_finished,player2_quiz_finished,drawn_low,drawn_high,finish_code_player1,finish_code_player2
umNlt,status_quo,2,true,Offer,MixWithLowBlue,high_quality,86,99,29,516,444,A5P12YJP805RG,AWB75Q7MKORHP,2021-06-08 19:01:31.847,2021-06-08 19:01:31.824,true,true,red ball,8,-80,true,true,red,blue,A5P12YJP805RGy7ROX,AWB75Q7MKORHPUa0Hv
tQ79F,holistic,3,true,Offer,MixWithHighBlue,high_quality,94,76,35,532,540,AFRJKS3Z3H4CA,bx888,2021-06-08 19:12:16.557,2021-06-08 19:12:17.362,true,true,2 blue balls,16,20,true,true,blue,blue,AFRJKS3Z3H4CA24D3W,bx888xtCnW
umNlt,status_quo,9,true,Offer,RejectOffer,low_quality,40,97,38,508,252,A5P12YJP805RG,AWB75Q7MKORHP,2021-06-08 19:04:48.972,2021-06-08 19:04:49.591,true,true,NA,-24,0,true,true,red,blue,A5P12YJP805RGy7ROX,AWB75Q7MKORHPUa0Hv
umNlt,status_quo,1,true,Offer,MixWithLowBlue,high_quality,95,75,13,508,524,A5P12YJP805RG,AWB75Q7MKORHP,2021-06-08 19:01:01.689,2021-06-08 19:01:01.614,true,true,blue ball,8,24,true,true,blue,blue,A5P12YJP805RGy7ROX,AWB75Q7MKORHPUa0Hv
tQ79F,holistic,1,true,Offer,MixWithHighBlue,high_quality,81,65,35,508,510,AFRJKS3Z3H4CA,bx888,2021-06-08 19:11:07.735,2021-06-08 19:15:02.23,true,true,1 blue and 1 red,8,10,true,true,red,blue,AFRJKS3Z3H4CA24D3W,bx888xtCnW
iJ7WZ,status_quo,2,true,NoOffer,NA,low_quality,50,64,54,508,524,A301GDXHTJNAO,kimbaka,2021-06-08 19:04:38.288,2021-06-08 19:04:38.615,true,true,NA,0,0,true,true,red,blue,A301GDXHTJNAOWw8Qc,kimbakayC3K4
zVbdo,holistic,1,,,,high_quality,88,51,51,500,500,,Qsnipe64,,,false,false,,,,false,false,,,,Qsnipe64X4wIm
umNlt,status_quo,3,true,Offer,MixWithLowBlue,high_quality,82,54,1,524,364,A5P12YJP805RG,AWB75Q7MKORHP,2021-06-08 19:01:56.965,2021-06-08 19:01:57.053,true,true,red ball,8,-80,true,true,red,blue,A5P12YJP805RGy7ROX,AWB75Q7MKORHPUa0Hv
iJ7WZ,status_quo,6,true,NoOffer,NA,low_quality,32,79,24,516,548,A301GDXHTJNAO,kimbaka,2021-06-08 19:05:32.938,2021-06-08 19:05:33.033,true,true,NA,0,0,true,true,blue,red,A301GDXHTJNAOWw8Qc,kimbakayC3K4
iJ7WZ,status_quo,9,true,Offer,MixWithHighBlue,high_quality,81,57,28,524,572,A301GDXHTJNAO,kimbaka,2021-06-08 19:06:09.372,2021-06-08 19:06:09.463,true,true,blue ball,8,24,true,true,red,blue,A301GDXHTJNAOWw8Qc,kimbakayC3K4
umNlt,status_quo,7,true,Offer,RejectOffer,high_quality,87,91,38,524,228,A5P12YJP805RG,AWB75Q7MKORHP,2021-06-08 19:04:16.717,2021-06-08 19:04:17.403,true,true,NA,-24,0,true,true,red,blue,A5P12YJP805RGy7ROX,AWB75Q7MKORHPUa0Hv
umNlt,status_quo,10,true,Offer,MixWithLowBlue,high_quality,85,70,39,516,172,A5P12YJP805RG,AWB75Q7MKORHP,2021-06-08 19:05:39.354,2021-06-08 19:05:46.017,false,false,red ball,8,-80,true,true,red,red,A5P12YJP805RGy7ROX,AWB75Q7MKORHPUa0Hv
27TUY,status_quo,1,,,,high_quality,86,89,21,500,500,AZBUDUYIII5I0,,2021-06-08 19:09:02.619,,false,false,,,,false,false,,,AZBUDUYIII5I0cHM65,
iJ7WZ,status_quo,8,true,NoOffer,NA,low_quality,60,94,24,516,548,A301GDXHTJNAO,kimbaka,2021-06-08 19:05:57.167,2021-06-08 19:05:57.224,true,true,NA,0,0,true,true,red,blue,A301GDXHTJNAOWw8Qc,kimbakayC3K4
umNlt,status_quo,6,true,Offer,MixWithLowBlue,low_quality,77,86,30,548,228,A5P12YJP805RG,AWB75Q7MKORHP,2021-06-08 19:03:45.586,2021-06-08 19:03:46.146,true,true,red ball,8,-80,true,true,red,blue,A5P12YJP805RGy7ROX,AWB75Q7MKORHPUa0Hv
umNlt,status_quo,4,true,Offer,MixWithLowBlue,low_quality,19,68,44,532,284,A5P12YJP805RG,AWB75Q7MKORHP,2021-06-08 19:02:47.272,2021-06-08 19:02:47.504,true,true,red ball,8,-80,true,true,red,red,A5P12YJP805RGy7ROX,AWB75Q7MKORHPUa0Hv
iJ7WZ,status_quo,1,true,Offer,MixWithHighBlue,high_quality,96,74,27,508,524,A301GDXHTJNAO,kimbaka,2021-06-08 19:04:21.143,2021-06-08 19:04:21.461,true,true,blue ball,8,24,true,true,blue,blue,A301GDXHTJNAOWw8Qc,kimbakayC3K4
iJ7WZ,status_quo,4,true,Offer,MixWithHighBlue,high_quality,97,75,8,516,548,A301GDXHTJNAO,kimbaka,2021-06-08 19:05:08.688,2021-06-08 19:05:08.824,true,true,blue ball,8,24,true,true,red,blue,A301GDXHTJNAOWw8Qc,kimbakayC3K4
iJ7WZ,status_quo,5,true,NoOffer,NA,low_quality,43,96,35,516,548,A301GDXHTJNAO,kimbaka,2021-06-08 19:05:22.869,2021-06-08 19:05:22.94,true,true,NA,0,0,true,true,red,blue,A301GDXHTJNAOWw8Qc,kimbakayC3K4
umNlt,status_quo,5,true,Offer,MixWithLowBlue,high_quality,90,65,56,540,308,A5P12YJP805RG,AWB75Q7MKORHP,2021-06-08 19:03:16.419,2021-06-08 19:03:16.719,true,true,blue ball,8,24,true,true,blue,blue,A5P12YJP805RGy7ROX,AWB75Q7MKORHPUa0Hv
umNlt,status_quo,8,true,Offer,MixWithLowBlue,high_quality,100,75,34,532,252,A5P12YJP805RG,AWB75Q7MKORHP,2021-06-08 19:04:33.821,2021-06-08 19:04:34.541,true,true,blue ball,8,24,true,true,blue,red,A5P12YJP805RGy7ROX,AWB75Q7MKORHPUa0Hv
K4j9L,holistic,1,,,,low_quality,1,92,7,500,500,AZBUDUYIII5I0,AZBUDUYIII5I0,2021-06-08 18:55:23.185,2021-06-08 19:03:54.771,false,false,,,,false,false,,,AZBUDUYIII5I0NqBNM,AZBUDUYIII5I0DqC60
tQ79F,holistic,4,true,Offer,RejectOffer,low_quality,66,77,13,532,540,AFRJKS3Z3H4CA,bx888,2021-06-08 19:12:45.884,2021-06-08 19:12:46.628,true,true,2 red balls,0,0,true,true,red,red,AFRJKS3Z3H4CA24D3W,bx888xtCnW
tQ79F,holistic,2,true,Offer,MixWithHighBlue,high_quality,84,81,46,516,520,AFRJKS3Z3H4CA,bx888,2021-06-08 19:11:32.098,2021-06-08 19:11:32.947,true,true,1 blue and 1 red,8,10,true,true,red,blue,AFRJKS3Z3H4CA24D3W,bx888xtCnW
iJ7WZ,status_quo,3,true,NoOffer,NA,low_quality,18,91,46,508,524,A301GDXHTJNAO,kimbaka,2021-06-08 19:04:51.552,2021-06-08 19:04:51.719,true,true,NA,0,0,true,true,blue,blue,A301GDXHTJNAOWw8Qc,kimbakayC3K4
iJ7WZ,status_quo,7,true,NoOffer,NA,low_quality,66,78,22,516,548,A301GDXHTJNAO,kimbaka,2021-06-08 19:05:45.166,2021-06-08 19:05:45.116,true,true,NA,0,0,true,true,red,red,A301GDXHTJNAOWw8Qc,kimbakayC3K4
tQ79F,holistic,6,true,Offer,MixWithHighBlue,high_quality,90,87,47,556,570,AFRJKS3Z3H4CA,bx888,2021-06-08 19:13:35.423,2021-06-08 19:13:36.106,true,true,2 blue balls,16,20,true,true,blue,blue,AFRJKS3Z3H4CA24D3W,bx888xtCnW
TRsbq,holistic,1,,,,low_quality,77,61,55,500,500,,A3E5890XYS8EV2,,2021-06-08 19:20:08.422,false,false,,,,false,false,,,,A3E5890XYS8EV21Sfxc
tQ79F,holistic,5,true,Offer,RejectOffer,low_quality,51,97,52,540,550,AFRJKS3Z3H4CA,bx888,2021-06-08 19:13:10.07,2021-06-08 19:13:10.856,true,true,1 blue and 1 red,8,10,true,true,red,blue,AFRJKS3Z3H4CA24D3W,bx888xtCnW
tQ79F,holistic,9,true,NoOffer,NA,low_quality,22,55,15,580,600,AFRJKS3Z3H4CA,bx888,2021-06-08 19:14:43.157,2021-06-08 19:14:43.653,true,true,1 blue and 1 red,8,10,true,true,red,blue,AFRJKS3Z3H4CA24D3W,bx888xtCnW
iJ7WZ,status_quo,10,true,Offer,MixWithHighBlue,high_quality,98,52,18,532,596,A301GDXHTJNAO,kimbaka,2021-06-08 19:06:33.442,2021-06-08 19:16:26.149,false,false,blue ball,8,24,true,true,red,blue,A301GDXHTJNAOWw8Qc,kimbakayC3K4
tQ79F,holistic,7,true,Offer,MixWithHighBlue,high_quality,94,58,0,556,570,AFRJKS3Z3H4CA,bx888,2021-06-08 19:14:09.835,2021-06-08 19:14:10.384,true,true,2 red balls,0,0,true,true,red,red,AFRJKS3Z3H4CA24D3W,bx888xtCnW
tQ79F,holistic,8,true,NoOffer,NA,low_quality,69,70,21,572,590,AFRJKS3Z3H4CA,bx888,2021-06-08 19:14:31.041,2021-06-08 19:14:31.573,true,true,2 blue balls,16,20,true,true,blue,blue,AFRJKS3Z3H4CA24D3W,bx888xtCnW
tQ79F,holistic,10,true,NoOffer,NA,low_quality,37,97,43,588,610,AFRJKS3Z3H4CA,bx888,2021-06-08 19:15:21.777,2021-06-08 19:19:24.515,false,false,1 blue and 1 red,8,10,true,true,red,blue,AFRJKS3Z3H4CA24D3W,bx888xtCnW
gVcZN,holistic,1,,,,high_quality,96,98,29,500,500,A3E5890XYS8EV2,,2021-06-08 19:23:19.623,,false,false,,,,false,false,,,A3E5890XYS8EV2NiD66,
z2dY8,holistic,1,,,,high_quality,99,45,35,500,500,,A3E5890XYS8EV2,,2021-06-08 19:24:54.915,false,false,,,,false,false,,,,A3E5890XYS8EV2lJJLQ
F1LBT,status_quo,1,,,,high_quality,83,92,23,500,500,A4EEVK4PD4NOC,,2021-06-08 19:38:32.074,,false,false,,,,false,false,,,A4EEVK4PD4NOCKO8um,
3RTW0,status_quo,2,true,Offer,MixWithHighBlue,high_quality,99,86,43,516,444,A17C8CUROFU495,A27RABV2PS9312,2021-06-08 21:16:06.728,2021-06-08 21:16:07.433,true,true,blue ball,8,24,true,true,blue,blue,A17C8CUROFU495nTdjl,A27RABV2PS9312FNyqw
XDXMX,holistic,1,,,,low_quality,32,80,9,500,500,,AG,,2021-06-08 23:01:55.669,false,false,,,,false,false,,,,AGY7GcK
H0eI9,status_quo,8,true,Offer,RejectOffer,high_quality,86,60,23,484,492,A1E4CVMKNX3ZCH,A4EEVK4PD4NOC,2021-06-08 20:07:36.535,2021-06-08 20:07:36.613,true,true,NA,-24,0,true,true,red,blue,A1E4CVMKNX3ZCHfajwR,A4EEVK4PD4NOCGkuE2
3RTW0,status_quo,6,true,Offer,MixWithHighBlue,high_quality,91,42,5,532,388,A17C8CUROFU495,A27RABV2PS9312,2021-06-08 21:17:26.255,2021-06-08 21:17:26.533,true,true,red ball,8,-80,true,true,red,red,A17C8CUROFU495nTdjl,A27RABV2PS9312FNyqw
